country,iso2,year,new.labconf,new.clindx,new.ep,ret.rel.labconf,ret.rel.clindx,ret.rel.ep,ret.nrel,ret.nrel.clindx,c.newunk,c.newinc,c.ret,c.notified,pulm.labconf.new,pulm.labconf.ret,pulm.labconf.unk,notif.foreign,rel.in.agesex.flg,agegroup.option,newrel.m04,newrel.m59,newrel.m1014,newrel.m514,newrel.m014,newrel.m1519,newrel.m2024,newrel.m1524,newrel.m2534,newrel.m3544,newrel.m4554,newrel.m5564,newrel.m65,newrel.m15plus,newrel.mu,newrel.f04,newrel.f59,newrel.f1014,newrel.f514,newrel.f014,newrel.f1519,newrel.f2024,newrel.f1524,newrel.f2534,newrel.f3544,newrel.f4554,newrel.f5564,newrel.f65,newrel.f15plus,newrel.fu,c.new.014,rdx.data.available,newinc.rdx,rdxsurvey.newinc,rdxsurvey.newinc.rdx,gaps.na.tbcases,remarks.tbcases,conf.rr.nfqr,conf.rr.fqr,unconf.rr.nfqr.tx,conf.rr.nfqr.tx,rrmdr.014.tx,conf.rr.fqr.tx,mdrxdr.bdq.used,mdrxdr.bdq.tx,mdrxdr.alloral.used,mdrxdr.alloral.tx,mdr.alloral.short.used,mdr.alloral.short.tx,mdr.tx.adsm,gaps.na.mdr.patients,remarks.mdr.patients,r.rlt.new,r.rlt.ret,rr.new,rr.ret,r.rlt.rel,rr.rel,dst.rlt.new,dst.rlt.ret,dst.rlt.hr.new,dst.rlt.hr.ret,dst.rlt.rr.new,dst.rlt.rr.ret,mdr.new,mdr.ret,rr.dst.rlt.fq,rr.fqr,rr.fqr.bdqr.lzdr,rr.fqr.bdqs.lzdr,rr.fqr.bdqu.lzdr,rr.fqr.bdqr.lzds,rr.fqr.bdqs.lzds,rr.fqr.bdqu.lzds,rr.fqr.bdqr.lzdu,rr.fqr.bdqs.lzdu,rr.fqr.bdqu.lzdu,gaps.na.dr.surveillance,remarks.dr.surveillance,newrel.tbhiv.flg,newrel.hivtest,newrel.hivpos,newrel.art,tbhiv.014.flg,newrel.hivtest.014,newrel.hivpos.014,newrel.art.014,gaps.na.hiv.patients,remarks.hiv.patients,hiv.tbrx.art,hiv.tbrx.art.NA,hiv.tbrx.art.NI.reason,hiv.tbrx.art.remarks,hiv.tbdetect,hiv.reg.new2,hiv.tbdetect.hiv.reg.new2.NA,hiv.tbdetect.hiv.reg.new2.NI.reason,hiv.tbdetect.hiv.reg.new2.remarks,hiv.tpt.eligible.start,hiv.tpt.eligible,hiv.art.tpt.start,hiv.art,hiv.tpt.eligible.start.NA,hiv.tpt.eligible.start.NI.reason,hiv.tpt.eligible.start.remarks,hiv.tpt.completed,hiv.tpt.eligible.start.ym2,hiv.tpt.completed.NA,hiv.tpt.completed.NI.reason,hiv.tpt.completed.remarks,hiv.unaids.date.exported,tbhiv.surveil,tbhiv.surv.prev,tbhiv.surv.yr,tbhiv.surv.cil,tbhiv.surv.ciu,tbhiv.sentin.prev,tbhiv.sentin.yr,tbhiv.sentin.cil,tbhiv.sentin.ciu,gaps.na.nonroutine.hiv,remarks.nonroutine.hiv,total.deaths.vr,r00.r99.deaths.vr,tbdeaths.vr,gaps.na.tbdeaths,remarks.tbdeaths
Mozambique,MZ,2020,30359,57031,4613,1308,2694,198,890,,92003,96203,5090,97093,30308,1597,51,,1,223,1949,,,4236,,,,,,,,,,44963,0,1778,,,3803,,,,,,,,,,39474,0,11766,60,36478,,,1,,1157,66,207,1099,95,68,1,1374,1,1306,0,,,1,,1865,1117,231,898,21,1,491,875,153,386,161,371,106,260,315,52,0,0,0,0,0,0,5,13,34,0,For 2.37 the country dont do TSA for linezolid,0,96079,26354,25027,0,,,,0,"For 2.43b: we start to report TB/HIV indicators desagregated by years (0-4, 5-14 and 15+) only in secon semester 2020",25027,0,,"The disags were not available form the National TB Program, the disag of age is only available for the second semester of 2020, so was left blank here however next year should be able to be completed.
",12053,273370,0,,,220746,261317,,,0,,"The Denominator Total number of people on antiretroviral therapy who are eligible for TPT during the reporting period is used as a proxy as there is a small percent of people that are newly initiating Pre-TARV that are already TB positive or allergic to the TPT
",,,1,,,2021-06-28,0,,,,,,,,,0,,,,,,
Namibia,NA,2020,3843,654,976,785,163,88,246,,5473,6509,1282,6755,3843,985,0,292,0,220,184,83,71,,,158,292,,1033,997,614,336,254,3684,0,174,66,66,,,187,274,,637,462,277,168,176,2181,0,644,60,4605,,,1,,204,9,5,195,14,9,1,120,1,130,1,2,,1,,3335,776,138,65,,,33,26,27,22,32,26,26,22,88,9,,,0,,,0,,,9,1,,1,6468,1989,1962,1,636,48,48,0,,,1,,,,,1,,,,,,,1,,,,,1,,,2021-06-28,0,,,,,,,,,0,,,,,,
New Caledonia,NC,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,,,,,,,,,,,,,,,,
Niger,NE,2020,8927,834,1310,305,,,176,,11071,11376,481,11552,8927,481,,,1,221,106,,,145,,,,1083,2132,1803,1222,930,899,8069,,92,,,119,,,,452,625,553,429,383,361,2803,,462,0,,,,0,il existe encore des centres dans lesquelles la répartition des cas par tranche d'age et par sexe ne se fait correctement. ,77,2,0,69,0,2,1,4,0,,1,4,69,0,,804,389,13,66,,,8,59,7,56,8,59,7,56,69,2,,,,,,,,,,0,,0,9709,355,271,,,,,0,,269,0,,"Néant
Néant",269,2681,0,,"Néant
Néant",,,,,1,,,,,1,,,2021-06-28,0,,,,,,,,,1,,,,,,
Nigeria,NG,2020,98358,30248,3604,2730,798,46,2807,,132210,135784,6381,138591,98277,4323,81,0,1,221,1517,,,2907,,,,10333,18951,19068,13732,8596,7210,77890,0,1320,,,2605,,,,8663,12721,11380,7656,4984,4013,49417,0,8349,60,73395,,,0,"2.7. The 128 Previous treatment history unknown notified during the year were not added hence the shortfall. This is because the National case finding summary tool did not include Previous treatment history unknown in the age and sex  breakdown for new and relapse.

2.11. The input contained the new; the Relapse and the treatment history unknown. 70,729 new cases had Xpert test; 2,585 relapse had Xpert and 81 treatment history unknown had Xpert test done  ",1964,97,0,1492,23,92,1,437,1,33,1,383,1492,1,"Diagnosis: A total of 12 XDR-TB was diagnosed in 2020, in addition, a total of 85 Pre-XDR TB cases were also diagnosed, also1964 RR/MDR were diagnosed to give 2061 DRTB cases
Placed on treatment: 1400 RR/MDR, 80 pre-XDR and 12 XDR to give 1492 
",65539,3938,1940,,2438,,65539,,398,,1940,,374,,1940,39,,,,,,,,,,1,,1,128390,9709,8849,0,,,,0,"2.43b and 2.45b: The country has a case based surveillance system that can aid the reporting of this, however the current summary forms did not capture the TB/HIV data by age group except for those that are HIV positive (with documented HIV status), 569 0-14 years were HIV positive.

2.46 The TB and HIV Programme had discussion on this before reporting on this. NASCP reported earlier than NTBLCP, and some data cleaning was conducted thereafter hence the new figure reported by NTBLCP",9193,0,,,,,1,,,,,,,1,,,,,1,,,2021-06-28,0,,,,,,,,,0,,,,,,
Nicaragua,NI,2020,1318,281,175,98,9,5,65,,1774,1886,177,1951,1318,163,0,0,1,222,,,,,58,,,206,285,234,152,136,122,1135,0,,,,,45,,,132,120,132,98,94,72,648,0,103,60,1314,,,0,,26,1,0,22,0,1,1,1,1,1,1,5,23,0,,1262,146,18,8,,,1262,146,1,1,18,8,1,1,5,1,,,,,,,,,,1,LO que se tiene es con resitencia a fluroquinolonas,1,1865,106,103,1,92,0,0,1,,103,0,,"Ninguno
ninguna",42,675,0,,"Registro de casos de coinfección TB VIH.
Ninguno",513,675,,,0,,,,,1,,,2021-06-28,0,,,,,,,,,0,,,,,,
Netherlands,NL,2020,279,46,268,7,1,13,9,0,593,614,30,623,279,13,0,451,1,220,3,1,0,,,21,31,,97,55,44,39,57,344,0,3,3,9,,,10,27,,71,55,30,26,32,251,0,19,60,494,,,,Data extracted from ECDC/TESSy 2021-06-28,12,0,0,12,0,0,3,,3,,3,,,1,{2.14-2-20: Data extracted from ECDC/TESSy 2021-06-28}. ,244,7,4,0,,,243,7,21,0,4,0,3,0,4,0,,,,,,,0,0,0,1,Data extracted from ECDC/TESSy 2021-06-28,1,445,14,11,,,,,0,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,0,,,,,,,,,0,,,,,1,May 28th: data are not available yet
Norway,NO,2020,82,7,55,,,,16,0,144,144,16,160,82,10,0,130,1,220,3,3,0,,,4,9,,14,6,7,7,10,57,0,3,0,2,,,6,7,,29,10,15,5,4,76,0,11,60,123,,,,Data extracted from ECDC/TESSy 2021-06-28,2,0,0,2,0,0,1,2,0,,1,2,2,1,{2.14-2-20: Data extracted from ECDC/TESSy 2021-06-28}. ,81,9,2,0,,,78,8,7,2,2,0,1,0,2,0,,,,,,,0,0,0,1,Data extracted from ECDC/TESSy 2021-06-28,1,,,,,,,,1,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,0,,,,,,,,,1,,,,,1,
Nepal,NP,2020,13598,3634,8466,1263,139,182,463,,25698,27282,2047,27745,13577,1573,21,,1,221,360,,,492,,,,2761,2613,2353,2513,2585,3125,15950,351,292,,,475,,,,2187,1936,1296,1183,1140,1479,9221,141,1619,60,7730,,,1,There was no any mechanism to capture the information regarding the foreign population during the period.,509,84,0,308,1,76,1,84,0,,0,,0,1,"There was no mechanism developed to capture and report the aDSM during the period.

Regarding 2.23 as our reporting period is July 2019 to July 2020 till that period no all oral longer regimens were used but immediately after July 2020 all oral regimen were introduced which will be reported in next reporting.",8135,1514,360,141,,,121,468,6,45,4,22,4,21,,,,,,,,,,,,1,"Currently there is no any mechanism to capture RR among Relapse cases only.

No any mechanism of reporting only the FQ resistance. Similarly, there was no any reporting mechanism for testing of Bedaquiline and Linezolid too during the period.

Number is rectified for the 2.32 after revised figure updated from NTCC reference lab.",0,14104,123,113,,,,,1,,,1,,,460,2056,0,,,,,,,1,,,,,1,,,2021-06-28,0,,,,,,,,,1,,,,,,
Nauru,NR,2020,13,3,1,0,0,0,0,,17,17,0,17,13,0,0,1,1,220,0,0,0,,,1,2,,1,0,0,0,0,4,0,0,0,0,,,1,0,,0,2,3,3,0,9,0,0,60,13,,,0,All new TB cases are diagnosed by GeneXpert and zero relapse cases. ,0,0,0,0,0,0,0,,0,,0,,0,0,Zero number of MDR/RR-TB,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,"Zero patients on second-line drug treatment
Zero XDR-TB cases",,0,0,0,,,,,0,2020 no relapse TB patients reported and no HIV-posisitve cases reported of having tested for TB positive,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,0,,,,,,,,,0,,,,,,
Niue,NU,2020,1,0,0,0,0,0,0,,1,1,0,1,1,0,0,1,1,222,,,,,0,,,0,0,0,0,1,0,1,0,,,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,,1,0,0,0,0,0,0,,0,,0,,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,,,,,0,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,1,1,2018,1,100,1,2018,1,100,0,Crude estimates on population size and verbal checks and balances using Triage Vitals and cross checking in the HIS (MedTech).,,,,,
New Zealand,NZ,2020,150,6,160,0,0,0,5,,316,316,5,321,150,5,0,260,0,220,2,0,1,,,14,19,,49,18,16,13,32,161,0,2,1,0,,,3,16,,40,23,18,17,32,149,0,6,,,,,1,,0,,,,,,,,,,,,,1,2020 MDR-TB data is provisional. ,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,292,2,,,,,,1,,2,0,,"
There were two people with HIV who were diagnosed with TB in 2020",,,1,,"
In 2020 there were two people newly diagnosed with HIV who were also diagnosed with TB.",,,,,1,,,,,1,,,2021-06-28,0,,,,,,,,,0,,,,,,
Oman,OM,2020,243,4,64,2,0,0,1,,311,313,3,314,238,3,5,219,1,221,0,,,3,,,,16,50,55,52,18,26,217,0,2,,,0,,,,10,35,23,8,7,8,91,0,5,60,291,,,0,,2,0,0,2,0,0,0,,0,,0,,2,0,,218,3,2,0,,,218,3,15,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,Bedaquiline and linezolid sensetivity not available.,1,300,8,8,,,,,0,,8,0,,,8,139,0,,,,,7,139,0,,"
Out of total 139 newly enrolled patients on ART, 119 were tested (119/139=86%) using Quantiferon test. 10 were tested positive and 7 out of ten were treated for latent TB",,,1,,,2021-06-28,0,,,,,,,,,0,,,,,,
Panama,PA,2020,575,270,224,27,25,12,51,,1069,1133,115,1184,,,,,1,221,13,,,15,,,,119,228,149,105,71,72,744,,14,,,18,,,,66,84,50,45,43,41,329,,60,60,,,,1,,31,2,0,33,0,2,1,9,1,2,0,,0,0,,408,36,13,8,,,408,36,11,3,13,8,3,2,21,2,,,,,,,,,2,1,,1,1081,272,243,1,4,4,4,0,,243,0,,,101,2021,0,,,,,,,0,,,,,1,,,2021-06-28,0,,,,,,,,,0,,,,,,
Peru,PE,2020,13367,3970,4106,1697,446,169,826,,21443,23755,3138,24581,13315,2250,52,236,1,220,115,91,282,,,1377,2439,,3734,2232,1738,1435,1650,14605,170,79,92,274,,,839,1157,,1902,1317,925,794,1018,7952,95,933,60,1225,,,0,,1424,116,210,1459,30,51,1,107,1,1424,0,,,1,,9583,1333,1055,404,806,133,9583,1333,1405,418,1055,404,831,345,418,82,0,0,0,0,6,0,0,0,76,0,,1,21620,1362,728,1,815,19,6,0,2.46 El dato reportado corresponde a información cerrada correspondiente al año 2020.,673,0,,,673,3032,0,,,,,,,0,,"No se dispone de información por sexo, edad o por Inicio de TAR, solicitados al personal de salud (para el siguiente reporte del año 2021 se solicitará)
",,,0,"Reporting dates (2019-01-01 - 2019-12-31)  are not equal to calendar year 2020. Reported numerator: 1107, denominator: 1640","La información no fue solicitada por grupo etáreo, sexo, o si reciben TAR. Sólo totalizados (La información así desagregada se solicitará para el siguiente reporte anual).
La información corresponde al año 2019.
La información no fue solicitada por esquemas de Terapia Preventiva para TB.
La mayoría de establecimientos aún vienen aplicando la terapia de 9 meses.",2021-06-28,0,,,,,,,,,0,,,,,,
French Polynesia,PF,2020,48,3,9,4,0,0,0,,60,64,4,64,48,4,0,2,1,221,0,,,4,,,,2,8,4,4,10,6,34,,0,,,0,,,,2,2,6,6,5,5,26,,4,60,55,,,0,,3,0,0,1,0,0,3,,1,1,3,,0,0,,44,4,3,0,,,3,,3,,3,,3,,3,0,,,,,,,,,,0,,0,28,1,1,,,,,0,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,0,,,,,,,,,0,,,,,,
Papua New Guinea,PG,2020,5973,8381,12679,353,462,379,1732,,27033,28227,2926,29959,5973,614,0,,1,221,1463,,,1841,,,,3091,3107,2132,1606,1083,462,11481,,1150,,,1721,,,,3173,3013,2017,1286,846,236,10571,,6175,0,,,,1,Our current recording and reporting tools do not capture data on New and relapse cases tested by WHO recommended rapid diagnostic test,589,4,0,444,56,4,1,317,1,38,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,18171,1249,1017,,,,,1,The correct number of TB-HIV co-infected patients started on ART was 1017. The data reported to GAM was incomplete and hence was lower than we have reported here.,942,0,,,560,4129,0,,,450,4129,,,0,,,,,1,,,2021-06-28,0,,,,,,,,,1,,,,,,
Philippines,PH,2020,97207,124254,4774,10343,19698,265,6759,,226235,256541,37065,263300,97207,13814,,23,1,220,4087,3691,2485,,,7766,13116,,26562,27915,31904,29393,24461,161117,7,3240,3130,1816,,,4359,6964,,12693,12272,13449,13250,13977,76964,4,18449,60,153488,,,1,,6256,23,125,4796,38,23,1,2331,1,3332,1,2846,4921,0,,82547,13132,2765,3445,9818,2191,79,201,65,164,77,192,64,159,878,24,,,,,,,,,,1,,1,85672,898,898,1,525,1,1,1,,2703,0,,,1614,8429,0,,,,,,,0,,"There were 70 PLHIVs (15+) with no data on sex and were not inititated on IPT
",,,1,,,2021-06-28,0,,,,,,,,,1,,,,,,
Pakistan,PK,2020,103204,110241,50170,6516,2298,561,3746,,263615,272990,13121,276736,103046,8841,158,,1,221,9502,,,9231,,,,23938,21896,19882,21000,19161,17843,123720,,7124,,,11194,,,,28561,22477,18386,17197,14320,11278,112219,,37051,60,125593,,,1,2.6 NTP surveillance tools do not capture this information,1858,831,10,1693,76,669,1,2000,1,1467,1,433,1812,0,,72718,6676,2302,387,4629,241,2422,1754,1486,571,1614,376,1415,330,1918,831,2,0,0,27,427,0,0,0,375,0,,1,79109,556,364,,,,,0,2.46: Data on patient started on ART is at the time of collection of data/Quarterly reporting of TB Notificaiton.,,1,,,,,1,,,,,,,1,,,,,1,,,2021-06-28,1,,,,,2.4,2020,,,1,,,,,,
Poland,PL,2020,2235,535,142,192,44,2,238,37,2912,3150,476,3388,2235,386,0,116,1,220,6,5,13,,,31,49,,180,387,522,610,504,2283,0,6,2,6,,,18,36,,94,123,99,139,320,829,0,38,60,876,,,,Data extracted from ECDC/TESSy 2021-06-28,28,13,0,0,0,0,,,,,,,,1,{2.14-2-20: Data extracted from ECDC/TESSy 2021-06-28}. ,2005,329,29,10,,,2005,329,89,20,29,10,26,9,14,12,,,,,,,0,0,12,1,Data extracted from ECDC/TESSy 2021-06-28,,,,,,,,,1,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,,,,,,,,,,1,,409709,45203,456,0,
Puerto Rico,PR,2020,23,3,1,0,0,0,0,,27,27,0,27,23,0,0,8,1,220,1,0,0,,,0,0,,0,3,2,5,7,17,0,0,0,0,,,1,0,,2,0,1,1,4,9,0,1,60,16,,,0,,2,0,0,2,0,0,1,1,0,,1,1,2,0,"We have one patient with MDR-TB in longer MDR-TB, treatment of all oral except Amikin IV",22,0,2,0,,,22,0,5,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,,1,27,3,1,1,1,0,0,0,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,0,,,,,,,,,0,,,,,,
"occupied Palestinian territory, including east Jerusalem",PS,2020,13,2,11,0,0,0,0,,26,26,0,26,13,0,0,0,1,220,1,1,0,,,1,0,,3,3,2,3,2,14,0,1,3,0,,,0,3,,1,1,1,0,0,6,0,6,60,26,,,0,,0,0,0,0,0,0,0,,0,,0,,0,0,,13,0,0,0,,,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,26,0,0,,,,,0,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,0,,,,,,,,,0,,,,,,
Portugal,PT,2020,817,115,410,30,4,15,44,5,1342,1391,93,1435,817,59,0,391,1,220,14,6,7,,,23,51,,110,129,182,175,208,878,1,10,2,2,,,13,45,,78,64,87,77,107,471,0,41,60,431,,,,Data extracted from ECDC/TESSy 2021-06-28,9,0,0,4,0,0,1,11,1,3,0,,3,0,{2.14-2-20: Data extracted from ECDC/TESSy 2021-06-28}. ,375,27,4,3,,,375,27,22,5,4,3,3,3,3,0,,,,,,,0,0,0,1,Data extracted from ECDC/TESSy 2021-06-28,0,966,95,,,,,,1,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,0,,,,,,,,,0,,,,74,1,
Palau,PW,2020,8,1,0,1,0,0,9,,9,10,10,19,8,1,0,2,1,221,0,,,0,,,,0,1,2,6,0,0,9,0,0,,,0,,,,0,0,0,1,0,0,1,0,0,60,10,,,0,,0,0,0,0,0,0,0,,0,,0,,0,0,,8,1,0,0,,,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,10,0,0,,,,,0,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,0,,,,,,,,,0,,,,,,
Paraguay,PY,2020,1360,579,245,156,15,8,229,,2184,2363,408,2592,1360,307,0,41,1,220,35,16,16,,,90,261,,439,304,200,180,179,1653,0,21,14,21,,,48,72,,152,93,73,64,85,587,0,123,60,880,,,0,,10,0,0,7,0,0,1,7,1,7,0,,7,0,,768,210,3,7,,,768,210,13,4,3,7,0,2,2,0,,,,,,,,,,1,,0,1943,199,178,1,51,0,0,0,,178,0,,,72,1218,0,,,73,1146,73,9778,0,,,,,1,,,2021-06-28,0,,,,,,,,,0,,,,,,
Qatar,QA,2020,375,24,456,3,0,3,2,,855,861,8,863,374,3,1,844,1,221,3,,,2,,,,88,289,191,83,25,7,683,0,1,,,1,,,,17,94,42,12,3,3,171,0,7,60,861,,,0,,1,10,0,0,0,10,1,4,3,,0,,10,0,2.14 updated from 10 to 1 by Hazim Timimi (WHO/Geneva) based on data in 2.28 - 2.37 ,374,3,9,1,,,374,3,31,1,9,1,8,1,10,9,,,,,,,,,,1,,1,861,2,2,,,,,0,,2,0,,,2,50,0,,,,,,,0,,,,,1,,,2021-06-28,0,,,,,,,,,0,,,,,,
Romania,RO,2020,4299,739,981,994,127,53,505,36,6019,7193,1679,7698,4299,1454,0,32,1,220,55,37,47,,,134,203,,620,910,1430,1033,699,5029,0,45,33,44,,,116,159,,383,313,321,206,405,1903,0,261,60,2209,,,,Data extracted from ECDC/TESSy 2021-06-28,220,31,0,65,0,31,1,55,1,78,0,,,1,{2.14-2-20: Data extracted from ECDC/TESSy 2021-06-28}. ,3589,1192,83,160,,,3562,1180,159,194,83,158,63,138,94,30,,,,,,,0,0,30,1,Data extracted from ECDC/TESSy 2021-06-28,1,6074,136,113,,,,,0,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,0,,,,,,,,,0,,297345,,782,1,
Serbia,RS,2020,134,162,116,11,10,6,2,1,412,439,29,441,133,12,1,1,1,221,2,,,3,,,,36,31,21,27,27,51,193,0,3,,,3,,,,34,42,27,37,42,55,237,0,11,60,438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,0,,,,,,,,,1,,,,,,
Russian Federation,RU,2020,22811,20546,4042,6108,4644,572,26233,9718,47399,58723,37557,84956,22811,22244,0,1503,1,221,290,,,508,,,,1737,7849,14039,8353,5456,2483,39917,318,285,,,544,,,,1321,4024,5131,2555,1726,2017,16774,87,1627,60,47901,,,1,,14141,7822,4688,20045,54,6097,1,9956,3,,3,,,1,,21099,20923,7657,14306,5493,3338,21099,20923,9778,15346,7657,14306,7152,13417,20449,7822,3,3,75,6,482,1898,0,7,5348,1,,1,55838,13506,9190,1,1444,34,29,0,Data in 2.44b and 2.45b - for new TB cases only,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,0,,,,,,,,,0,,2138586,142370,6841,0,"The data are preliminary and when the final data become available, they will be corrected."
Rwanda,RW,2020,3667,574,883,304,46,37,85,,5124,5511,472,5596,3665,378,2,0,1,220,139,18,33,,,110,357,,962,1005,532,456,273,3695,0,98,20,20,,,86,201,,409,312,202,148,128,1486,0,328,60,4201,,,0,,40,0,0,40,2,0,1,12,1,12,0,,40,0,Rwanda NTP is planning to implement the all oral shorter MDR-TB treatment regimens by July 2021.,2662,273,26,14,,,,,,,,,,,27,0,,,,,,,,,,1,"There was no growth on 13 primary cultures, thus impossible to do DST.
Bedaquiline and linezolid drug susceptibility testing is not yet done in Rwanda.",1,5497,1064,977,,,,,0,,1065,0,,,,,1,,,,,,,1,,,,,1,,,2021-06-28,0,,,,,,,,,0,,,,,,
Saudi Arabia,SA,2020,1649,114,596,77,3,9,63,,2359,2448,152,2511,1603,140,46,1287,1,221,16,,,20,,,,249,505,391,245,166,138,1694,0,16,,,27,,,,127,239,132,67,48,62,675,0,79,60,1049,,,0,,36,0,0,36,0,0,1,4,1,12,0,,12,0,,590,54,19,5,,,527,45,22,8,16,4,8,4,0,0,0,0,0,0,0,0,0,0,0,0,,1,1581,40,40,,,,,0,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,0,,,,,,,,,0,,,,,,
Solomon Islands,SB,2020,160,66,86,8,1,0,3,,312,321,12,324,160,8,0,3,1,221,18,,,17,,,,30,28,32,23,19,10,142,0,8,,,19,,,,37,26,23,11,12,8,117,0,62,60,106,,,0,,1,1,0,0,0,0,0,,0,,0,,0,0,One MDR-TB patient was diagnosed in early 2020 but died before treatment could be statrted,106,8,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,123,1,1,,,,,0,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,0,,,,,,,,,0,,,,,,
Seychelles,SC,2020,7,0,2,0,0,0,0,,9,9,0,9,7,0,0,3,,220,0,0,0,,,0,0,,2,4,1,1,1,9,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,60,7,,,0,,0,0,0,0,0,0,0,,0,,0,,0,0,,7,0,0,0,,,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,9,2,2,,,,,0,,2,0,,,2,82,0,,,,,,,0,"Reporting dates (2020-01-01 - 2021-06-23)  are not equal to calendar year 2020. Reported numerator: 2, denominator: 92","Information are only for the year 2020
Transgender are not recognize yet
We are searching information on treatment received
",,,1,,,2021-06-28,0,,,,,,,,,0,,,,,,
Sudan,SD,2020,7461,4438,4834,424,140,63,288,,16733,17360,915,17648,7383,712,78,0,1,221,254,,,400,,,,1696,2189,1710,1265,943,988,8791,1426,212,,,337,,,,1019,1126,948,812,510,574,4989,951,1203,60,5295,,,1,,160,0,0,151,4,1,0,,0,,0,,3,1,,4804,712,84,76,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,the 67 patients previously treated not enrolled .,1,4794,111,109,,,,,1,"109 were tested in the TB clinic(reported from NTP),41 were HIV tested for TB (Positive) reported from SNAP (AIDS)?the total number were 150 .The NTP data had only TB/HIV cases reported for NTP only ,we could not included in our report the 41 cases  because at state level they were not report to NTP the HIV/TB from SNAP ",150,0,,,103,1631,0,,,,,,,1,,,,,1,,,2021-06-28,0,,,,,,,,,0,,,,,,
